tissue	cluster	gene
Olfactory_Epithelium	5	MT-ATP8
Olfactory_Epithelium	5	CEBPD
Olfactory_Epithelium	5	IRF2BPL
Olfactory_Epithelium	5	MT-ND6
Olfactory_Epithelium	5	CENPB
Olfactory_Epithelium	5	CITED4
Olfactory_Epithelium	5	ADRB1
Olfactory_Epithelium	5	SOX21
Olfactory_Epithelium	5	SF3B5
Olfactory_Epithelium	5	SMIM10L1
Olfactory_Epithelium	5	GAS1
Olfactory_Epithelium	5	ATXN7L3B
Olfactory_Epithelium	5	PURB
Olfactory_Epithelium	5	CLDN8
Olfactory_Epithelium	5	PCBP1
Olfactory_Epithelium	5	FEM1A
Olfactory_Epithelium	5	TMEM158
Olfactory_Epithelium	6	CLDN3
Olfactory_Epithelium	6	SOX2
Olfactory_Epithelium	6	TACSTD2
Olfactory_Epithelium	6	SEPHS2
Olfactory_Epithelium	6	MT-CO2
Olfactory_Epithelium	6	MT-ATP6
Olfactory_Epithelium	6	FZD9
Olfactory_Epithelium	6	MT-ND4
Olfactory_Epithelium	6	MT-CYB
Olfactory_Epithelium	6	MT-CO1
Olfactory_Epithelium	6	MT-ND4L
Olfactory_Epithelium	6	MT-CO3
Olfactory_Epithelium	6	MAGEF1
Olfactory_Epithelium	6	CLDN9
Olfactory_Epithelium	6	FRAT2
Olfactory_Epithelium	6	MT-ND5
Olfactory_Epithelium	6	RHOB
Olfactory_Epithelium	6	SOX21
Olfactory_Epithelium	6	PCBP1
Olfactory_Epithelium	6	SOX4
Olfactory_Epithelium	6	MT-ND3
Olfactory_Epithelium	6	SMIM10L1
Olfactory_Epithelium	6	OTUD1
Olfactory_Epithelium	6	ATXN7L3B
Olfactory_Epithelium	6	RRAGA
Olfactory_Epithelium	6	DNAJC30
Olfactory_Epithelium	6	MT-ND6
Olfactory_Epithelium	6	MFSD6L
Olfactory_Epithelium	6	BLOC1S4
Olfactory_Epithelium	6	TBCC
Olfactory_Epithelium	6	MT-ND2
Olfactory_Epithelium	6	KBTBD7
Olfactory_Epithelium	6	PIGM
Olfactory_Epithelium	6	SF3B5
Olfactory_Epithelium	6	ADRA2A
Olfactory_Epithelium	6	MT-ND1
Olfactory_Epithelium	6	MAGEH1
Olfactory_Epithelium	6	SDHAF1
Olfactory_Epithelium	6	TMEM203
Olfactory_Epithelium	6	GAS1
Olfactory_Epithelium	6	CCDC8
Olfactory_Epithelium	6	IRF2BPL
Olfactory_Epithelium	6	SLC10A5
Olfactory_Epithelium	6	MGAT2
Olfactory_Epithelium	6	UBQLN2
Olfactory_Epithelium	6	F8A1
Olfactory_Epithelium	6	CLDN23
Olfactory_Epithelium	6	EXOSC6
Olfactory_Epithelium	6	SFN
Olfactory_Epithelium	6	RRS1
Olfactory_Epithelium	6	RBM15B
Olfactory_Epithelium	6	THAP11
Olfactory_Epithelium	6	RPP25
Olfactory_Epithelium	6	RTL8B
Olfactory_Epithelium	6	PURB
Olfactory_Epithelium	6	FZD7
Olfactory_Epithelium	6	TSPYL5
Olfactory_Epithelium	6	TSPYL4
Olfactory_Epithelium	6	HEXIM1
Olfactory_Epithelium	6	EID2
Olfactory_Epithelium	6	FAM181B
Olfactory_Epithelium	6	ADRB1
Olfactory_Epithelium	6	FANCF
Olfactory_Epithelium	6	DOLK
Olfactory_Epithelium	6	SOX11
Olfactory_Epithelium	6	UTP3
Olfactory_Epithelium	6	CLDN8
Olfactory_Epithelium	6	IER5L
Olfactory_Epithelium	6	IRF2BP1
Olfactory_Epithelium	6	BORCS6
Olfactory_Epithelium	6	MT-ATP8
Olfactory_Epithelium	6	PPP1R3D
Olfactory_Epithelium	6	ADO
Olfactory_Epithelium	6	CH25H
Olfactory_Epithelium	6	FEM1A
Olfactory_Epithelium	6	CENPB
Olfactory_Epithelium	6	RNF113A
Olfactory_Epithelium	6	CITED4
Olfactory_Epithelium	6	NKAPL
Olfactory_Epithelium	6	GSPT2
Olfactory_Epithelium	6	TRAM1L1
Olfactory_Epithelium	6	RNF26
Olfactory_Epithelium	6	HPS6
Olfactory_Epithelium	6	NSMCE3
Olfactory_Epithelium	6	B3GALT6
Olfactory_Epithelium	6	RIOX1
Olfactory_Epithelium	6	SOX12
Olfactory_Epithelium	6	FZD8
Olfactory_Epithelium	6	CEBPD
Olfactory_Epithelium	6	MOCS3
Olfactory_Epithelium	6	TIGD1
Olfactory_Epithelium	6	SOX3
Olfactory_Epithelium	6	KCNE5
Olfactory_Epithelium	6	SFT2D3
