tissue	cluster	gene
Testis	4	CBLL2
Testis	4	SLC35G3
Testis	4	H1-7
Testis	4	CCT8L2
Testis	4	MOCS3
Testis	4	MPC1L
Testis	4	CCDC185
Testis	4	GSPT2
Testis	4	FAM47B
Testis	4	CITED4
Testis	4	TSSK1B
Testis	4	ZCCHC13
Testis	4	RNF133
Testis	4	CTAGE6
Testis	4	RPL10L
Testis	5	DNAJB7
Testis	5	GARIN4
Testis	5	TEX54
Testis	5	CCDC185
Testis	5	SPACA4
Testis	5	CCIN
Testis	5	SCP2D1
Testis	5	ACTL7B
Testis	5	CITED4
Testis	5	PPP1R2C
Testis	5	NRARP
Testis	5	PFN3
Testis	5	FTMT
Testis	5	TSSK2
Testis	5	ZNRF4
Testis	5	OXCT2
Testis	5	CCDC54
Testis	5	RNF133
Testis	5	PRM3
Testis	5	PLPP6
Testis	5	FRAT2
Testis	5	SOWAHC
Testis	5	SPPL2C
Testis	5	TEX44
Testis	5	KIF2B
Testis	5	TSSK1B
Testis	5	ABHD16B
Testis	5	ACTL9
Testis	5	SDHAF1
Testis	5	CCT8L2
Testis	5	DDI1
Testis	5	ACTL7A
Testis	5	KCTD11
Testis	5	ACTL10
Testis	5	OTUD1
Testis	5	H2AP
Testis	5	CCDC182
Testis	5	ACTRT2
Testis	5	FANCF
Testis	5	CCDC184
Testis	5	SF3B5
Testis	5	H3Y2
Testis	5	TSPYL5
Testis	5	ATXN3L
Testis	5	CCDC89
Testis	5	DUSP21
Testis	5	MPC1L
Testis	5	TMDD1
Testis	5	H2AL1Q
Testis	5	HNRNPA0
Testis	5	CAPZA3
Testis	5	ZCCHC13
Testis	5	UBL4B
Testis	5	GK2
Testis	5	MOCS3
Testis	5	H1-7
Testis	5	GSPT2
Testis	5	KBTBD7
Testis	5	ACTRT1
Testis	5	FSCB
Testis	5	RGS9BP
Testis	5	H3Y1
Testis	5	CBLL2
Testis	5	H1-10
Testis	5	PANO1
Testis	5	RIOX1
Testis	5	H3-5
Testis	5	H2AL3
Testis	6	CETN1
Testis	6	NKAPL
Testis	6	RPL10L
Testis	6	PDHA2
Testis	6	PRPS1L1
Testis	6	NACA2
Testis	6	ADAM30
Testis	6	EID3
Testis	6	HDGFL1
Testis	6	TKTL2
Testis	6	SLC25A2
Testis	6	ADO
Testis	6	MT-CO1
Testis	6	PPP1R2B
Testis	6	MT-ND2
Testis	6	GMCL2
Testis	6	GK2
Testis	6	H3-5
Testis	6	MT-CO3
Testis	6	RBMXL2
Testis	6	MFSD6L
Testis	6	PNMA1
Testis	6	PAPOLB
Testis	6	PABPC3
Testis	6	HSPB9
Testis	6	BOD1L2
Testis	6	PRKACG
Testis	6	SF3B5
Testis	6	H2BC1
Testis	6	TUSC1
Testis	6	CDC14C
Testis	6	MT-ND1
Testis	6	PURB
Testis	6	EIF5AL1
Testis	6	MT-ND5
Testis	6	CTAGE1
Testis	6	TBCC
Testis	6	ADRA2A
Testis	6	KIF4B
Testis	6	PKDREJ
Testis	6	CCDC89
Testis	6	POU5F2
Testis	6	PGK2
Testis	6	CALML3
Testis	6	NSMCE3
Testis	6	DOLK
Testis	6	TMEM185B
Testis	6	DNAJC30
Testis	6	PABIR1
Testis	6	MT-CO2
Testis	6	PCDHB7
Testis	6	SFT2D3
Testis	6	RRAGA
Testis	6	LDHAL6B
Testis	6	MAP10
Testis	6	EID2
Testis	6	HASPIN
Testis	6	DDX28
Testis	6	TMEM203
Testis	6	HNRNPA0
Testis	6	ZCCHC3
Testis	6	EPOP
Testis	6	CCDC87
Testis	6	MT-ATP6
Testis	6	MT-ND3
Testis	6	SOX2
Testis	6	PCBP1
Testis	6	BORCS6
Testis	6	RIMBP3C
Testis	6	MT-ND4
Testis	6	POM121L12
Testis	6	PIGM
Testis	6	TSPYL6
Testis	6	NUDT4B
Testis	6	RNF26
Testis	6	SLC25A52
Testis	6	EXOC8
Testis	6	SEPHS2
Testis	6	MGAT2
Testis	6	DCAF4L1
Testis	6	RBM15B
Testis	6	FBLL1
Testis	6	IER5
Testis	6	FOXL2
Testis	6	MT-ND6
Testis	6	MT-CYB
Testis	6	PGBD4
Testis	6	ATXN7L3B
Testis	6	TMEM158
Testis	6	GPR150
Testis	6	MAGEL2
Testis	6	C1GALT1C1L
Testis	6	RAB6D
Testis	6	TSPYL4
Testis	6	KTI12
Testis	7	H2BC1
Testis	7	LDHAL6B
Testis	7	GMCL2
Testis	7	TKTL2
Testis	7	PCBP1
Testis	7	EID3
Testis	7	TUSC1
Testis	7	EIF5AL1
Testis	7	POM121L12
Testis	7	PRPS1L1
Testis	7	RBMXL2
Testis	7	MT-CO1
Testis	7	H3-5
Testis	7	MT-ND1
Testis	7	MT-ND3
Testis	7	MT-CO2
Testis	7	MT-ND2
Testis	7	MT-CO3
Testis	7	MT-ND4
Testis	7	MT-ATP6
Testis	7	MT-ND4L
Testis	7	CETN1
Testis	7	MT-ND5
Testis	7	PNMA1
Testis	7	MT-CYB
Testis	7	MT-ATP8
Testis	7	H1-6
Testis	7	PABPC3
Testis	7	NSMCE3
Testis	7	HDGFL1
Testis	7	C1GALT1C1L
Testis	7	POU5F2
Testis	7	PPP1R2B
Testis	7	H4C3
Testis	7	HNRNPA0
Testis	7	NKAPL
Testis	7	RRAGA
Testis	7	MGAT2
Testis	7	TSPYL4
Testis	7	PKDREJ
Testis	7	PIGM
Testis	7	TSPYL6
Testis	7	CDC14C
Testis	7	KIF4B
Testis	7	TMEM185B
Testis	7	ADAM30
Testis	7	NACA2
Testis	7	PDHA2
Testis	7	TBCC
Testis	7	PURB
Testis	7	DCAF4L2
Testis	7	RPL10L
Testis	7	MT-ND6
Testis	7	TMEM203
Testis	7	PRKACG
Testis	7	MFSD6L
Testis	7	MAP10
Testis	7	SEPHS2
Testis	7	BORCS6
Testis	7	ADO
Testis	7	SOX2
Testis	7	SLC25A2
Testis	7	PAPOLB
Testis	7	DCAF4L1
Testis	7	ADRA2A
Testis	7	MAGEF1
Testis	7	CALML3
Testis	7	SFT2D3
Testis	7	UTP3
Testis	7	GK2
Testis	7	HSPA1B
Testis	7	DOLK
Testis	7	FBLL1
Testis	7	DNAJC30
Testis	7	PABIR1
